user_id,item_id,rating,timestamp
0,2527,4,2024-10-29 05:28:11.021497144
0,3210,3,2024-11-01 14:40:51.290138352
0,3250,4,2024-11-15 00:33:38.342368910
0,3284,3,2024-11-16 22:15:11.570505957
0,3241,4,2024-11-16 22:25:30.044647002
0,2192,2,2024-11-19 06:09:16.675395283
0,1707,2,2024-11-19 23:11:11.618999740
0,3082,2,2024-11-20 19:30:33.782245663
0,3233,3,2024-11-20 21:59:22.861657913
0,2947,4,2024-11-24 06:07:31.437927252
0,3234,4,2024-11-24 23:01:35.315485492
0,3307,3,2024-11-27 07:23:17.222398728
0,3079,1,2024-11-30 14:27:06.583672110
0,3182,4,2024-12-02 21:58:03.973625427
0,1682,3,2024-12-04 14:22:48.193951972
0,2246,3,2024-12-07 13:29:25.870828245
0,3126,2,2024-12-07 22:47:52.920199160
0,2742,3,2024-12-09 19:59:33.835781396
0,1983,4,2024-12-11 16:23:48.698788636
0,3193,4,2024-12-14 22:29:29.122553624
0,1973,4,2024-12-18 16:26:33.293773223
0,2200,2,2024-12-22 05:25:17.306699052
0,3204,4,2024-12-26 18:10:09.716708067
0,1711,2,2024-12-31 23:28:44.947677132
0,2289,4,2025-01-04 00:43:14.477035088
0,2902,4,2025-01-04 23:34:56.179757841
0,2047,4,2025-01-06 08:06:07.995530917
0,2750,4,2025-01-06 19:31:42.423077113
0,3201,2,2025-01-07 02:48:28.529674259
0,3077,2,2025-01-07 19:46:53.042865132
0,1695,2,2025-01-11 03:24:57.771308545
0,3141,3,2025-01-18 04:20:13.439602795
0,2019,4,2025-01-22 05:57:24.509952541
0,1790,2,2025-02-08 22:00:21.365837265
0,1710,1,2025-02-11 13:08:09.336576466
0,1629,2,2025-02-13 20:46:42.823420757
0,1564,2,2025-02-15 12:14:27.042454682
0,2237,4,2025-02-21 10:51:06.473543694
0,2724,4,2025-02-23 01:29:48.247949524
0,2179,4,2025-02-23 04:36:06.772633655
0,1656,1,2025-02-23 15:27:13.329747349
0,1838,3,2025-02-27 16:43:06.684217263
0,3075,1,2025-03-10 23:57:10.824968381
0,3146,4,2025-03-18 09:22:52.310383087
0,2502,4,2025-03-20 10:26:43.017414510
0,2101,3,2025-03-29 00:12:26.799755782
0,3095,2,2025-03-29 08:45:50.458560564
0,2488,3,2025-04-09 21:07:56.053546408
0,2144,4,2025-04-13 02:39:54.475598149
0,2588,4,2025-04-15 14:39:53.009373140
0,3130,4,2025-04-18 20:55:58.303859256
0,3211,4,2025-04-22 11:02:07.072319420
0,3125,2,2025-04-24 10:47:55.284199884
0,3128,3,2025-04-24 20:47:05.520538520
